labels,american,ani,anoth,ask,attack,author,becau,befor,black,case,charg,children,citi,come,commun,control,countri,court,crime,day,death,democrat,depart,did,dont,dure,elect,enforc,famili,feder,fight,govern,group,gun,ha,help,hi,high,home,hou,includ,investig,issu,just,kill,know,later,law,life,live,look,make,man,mani,matter,media,member,month,murder,nation,need,offic,offici,old,onli,peopl,person,place,point,polic,polit,presid,public,recent,report,republican,right,say,school,shooter,shot,sinc,state,student,support,thi,think,time,tri,trump,use,victim,violenc,want,way,week,weon,white,work,year
right,0,0,1,0,1,0,4,5,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,2,1,0,0,4,0,0,5,4,1,1,5,1,0,1,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,2,1,3,0,1,1,3,0,0,0,1,6,0,1,0,10,7,2,0,2,3,1,1,0,0,0,0,0,1,2,2,0,0,1,2,1,2
right,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,1,1,0,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6,2,6,0,0,0,0,1,1,0,0,0,0,1,0
right,1,1,0,0,1,1,2,0,2,2,0,8,1,1,0,1,1,1,0,1,1,1,1,1,1,4,0,0,3,1,1,2,1,0,18,1,55,0,0,1,2,0,0,1,2,2,2,1,3,2,0,3,0,2,0,1,2,1,0,0,0,1,0,4,1,4,1,0,0,1,3,2,3,2,2,0,2,4,3,0,1,3,0,0,3,5,1,5,0,3,1,0,0,4,4,2,0,1,3,10
right,4,0,0,0,6,0,1,5,0,0,0,6,3,3,0,0,2,0,0,4,2,0,0,1,2,5,2,0,0,0,1,0,0,0,1,1,8,1,1,1,1,0,0,2,4,4,1,0,0,9,2,0,1,4,0,0,3,0,1,1,0,0,0,1,1,4,0,2,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,0,2,4,2,3,3,1,0,1,0,0,2,5,0,2,1,3
left,3,0,0,0,2,0,0,0,0,0,0,1,1,0,2,1,1,2,2,2,2,1,2,1,0,2,1,1,0,0,2,1,0,31,4,2,6,2,0,2,3,0,0,2,3,0,2,7,0,1,0,2,1,2,1,0,1,1,0,3,0,5,0,1,0,1,1,1,0,0,2,6,0,2,0,0,2,0,2,1,0,0,7,0,5,1,0,4,0,15,4,0,5,0,0,0,2,2,0,5
right,0,0,1,1,0,0,2,5,1,0,0,4,0,0,1,0,0,0,1,4,0,0,0,2,0,1,0,0,0,0,0,0,0,4,1,0,20,1,1,2,3,2,0,2,4,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,2,0,0,0,2,1,0,0,0,10,0,1,0,7,2,4,0,3,2,0,1,0,1,0,0,2,0,2,1,2,0,1,0,0,0
right,0,0,0,0,3,0,3,2,1,3,1,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,5,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,5,0,0,1,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
right,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,2,2,0,1,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
right,2,1,1,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,1,0,3,2,0,2,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,1,0,1,1,0,2,2,1,0,0,0,5,0,3,1,0,0,0,0,1,0,0
right,1,0,0,0,0,0,1,0,0,0,0,1,5,2,1,2,0,0,0,0,0,0,3,0,1,0,0,1,2,0,0,0,0,1,3,1,1,2,0,0,2,0,0,0,2,5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,1,0,0,0,0,1,17,2,1,0,0,2,0,1,0,2,4,0,0,1,0,0,0,1,0,0,1,2
