labels,american,attack,authority,black,called,case,child,city,come,community,control,country,county,court,crime,day,death,department,did,didnt,dont,enforcement,family,federal,fight,firearm,going,government,group,gun,ha,health,help,high,home,house,im,including,just,killed,killing,know,later,law,left,letter,life,local,long,make,man,matter,medium,member,million,month,national,need,office,officer,official,old,people,place,police,political,president,public,report,republican,right,say,school,shooter,shot,state,story,student,support,texas,thats,thing,think,threat,time,took,trump,used,victim,video,violence,want,way,week,weons,white,woman,work,year,york
left,0.0,0.0,0.0,0.0,0.0,0.0,0.22075889378821717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23356423601136836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12927218094083742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16238338986934436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2139435595315214,0.0,0.0,0.0,0.0,0.3217351883652196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7341132855019978,0.0,0.0,0.0,0.0,0.23985099322771325,0.0,0.24570945474059228,0.0,0.0,0.0,0.0,0.0,0.2180006129577848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left,0.0,0.0,0.0,0.0,0.0,0.0,0.19484449348728758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18982117024334577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21641044313629915,0.0,0.1455991303821523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47630409802130264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37765839261522505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16198433596649034,0.18229270207302764,0.0,0.0,0.0,0.42339082685121704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499750095672518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left,0.0,0.0,0.0,0.0,0.0,0.38611606621404404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41636267580451586,0.0,0.2876034290818729,0.38732193892294187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5549556066926767,0.0,0.0,0.0,0.0,0.0,0.0,0.30738295423763423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2058214829946674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left,0.0,0.0,0.236411612291574,0.0,0.11051998231241648,0.0,0.0,0.0,0.0,0.0,0.0,0.10919365064224433,0.13008548390300276,0.26251062833815914,0.0,0.0,0.0,0.12581664276153168,0.0,0.0,0.0,0.250492076072915,0.0,0.12606311879042073,0.0,0.0,0.11451684074232613,0.1336770729947397,0.0,0.0,0.06963648239213205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18983636623428998,0.0,0.0,0.0,0.0,0.0,0.0,0.23062855468440213,0.0,0.0,0.0,0.13641787283517706,0.11206944907933027,0.0,0.0,0.12731334586104617,0.11524735490495958,0.10824987413902279,0.09592281531815572,0.0,0.0,0.08665633478318713,0.0,0.0,0.11051998231241648,0.33964315488111113,0.0,0.0,0.0,0.098863240543389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555518967691137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28202251069370815,0.0
left,0.0,0.0,0.21809459926607205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24001309586407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2310841181653578,0.0,0.23259166593660557,0.0,0.0,0.0,0.0,0.0,0.3211979303489137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16139105281288102,0.0,0.0,0.0,0.3502559440179444,0.20971946653234042,0.0,0.0,0.0,0.0,0.0,0.42551921816067895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21263613441688606,0.0,0.176981559953874,0.0,0.21141005552305245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1824067660590477,0.0,0.0,0.0,0.0,0.23838524584554008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21666839488582687,0.0,0.0,0.18758562516847613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13008579793850508,0.0
left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7607632473090633,0.0,0.0,0.0,0.0,0.18394957462001987,0.1564088984592624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3054349814041546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722756433579123,0.0,0.0,0.0,0.09486292321833938,0.0,0.0,0.0,0.0,0.161585170985003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1281187857867795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19243525710272544,0.0,0.0,0.0,0.20616477970130376,0.0
left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926291175602098,0.0,0.4630964382043712,0.2247431106519491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36219911990826215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24569220049510707,0.0,0.0,0.19670888207314938,0.20354475914053832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2005197671184213,0.0,0.0,0.0,0.0,0.0,0.20342654866717927,0.0,0.0,0.19748063102761357,0.0,0.0,0.0,0.0,0.0,0.20330849042885696,0.0,0.0,0.0,0.2021361955612157,0.15287091513203352,0.0,0.0,0.0,0.0,0.0,0.0,0.19859452333959962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14855065676830445,0.20716386896649092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18382502370669238,0.0,0.0,0.0,0.0,0.24875872840369415,0.0
left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17218978177750935,0.0,0.1784848205800581,0.0,0.0,0.2008800424417885,0.0,0.0,0.0,0.0,0.0,0.16519949549037952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7126943590748833,0.0,0.0,0.0,0.0,0.1350769691214578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17807011383313015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1965992634431267,0.3559335423139823,0.16716115172065882,0.148125514347279,0.10019447237839833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13531940307301993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1813415897318739,0.0,0.0,0.15700063452643442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10887589494600047,0.0
left,0.0,0.0,0.11539412923572419,0.0,0.0,0.0,0.0,0.0,0.0,0.11283354617466958,0.0,0.10659633942508119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20043231684918453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34932470748096883,0.0,0.0,0.0,0.25617663255006196,0.12078508091737493,0.0,0.11231056005028522,0.0,0.0,0.0,0.0,0.11787267124981733,0.0,0.0,0.0,0.0,0.0,0.10928105076491837,0.0,0.10940373330297334,0.0,0.0,0.0,0.11250604855717797,0.0,0.09364116796281648,0.2533615483672742,0.0,0.5921657179777351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3970071692980737,0.0,0.0,0.0,0.0,0.0,0.0,0.24390264178951873,0.12795586292875974,0.0,0.0,0.0
left,0.0,0.0,0.3158549919624662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17536213978683313,0.0,0.0,0.0,0.1680958659474632,0.0,0.0,0.15478376579666867,0.0,0.0,0.3368503347729245,0.0,0.0,0.0,0.0,0.45767927368505523,0.0,0.0,0.0,0.0,0.0,0.0,0.15936101400834815,0.0,0.0,0.11872427963845461,0.0,0.0,0.15074511895478585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3081286049363545,0.0,0.0,0.29912236991270824,0.0,0.0,0.0,0.0,0.17009551876013596,0.0,0.0,0.0,0.26006146397947155,0.0,0.11577619077646245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37111933332683283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
